Park,Prov/State,Country,Adults,Child,partySize,Booking Type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permits
Blomidon,NS,CANADA,2,2,4,CampsitePermit,Full,Tents,08/30/2013,08/31/2013,1,1
Blomidon,NS,CANADA,4,,4,CampsitePermit,Full,Tents,08/14/2013,08/16/2013,2,1
Amherst Shore,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/20/2013,08/21/2013,1,1
Laurie,NS,CANADA,2,1,3,CampsitePermit,Full,Single Tent,07/30/2013,07/31/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,09/26/2013,09/27/2013,1,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,10/09/2013,10/12/2013,3,1
Laurie,QC,CANADA,2,2,4,CampsitePermit,Full,Less than 20ft,07/02/2013,07/05/2013,3,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,08/06/2013,08/07/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,09/14/2013,09/15/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Less than 40ft,07/24/2013,07/26/2013,2,1
Porters Lake,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/22/2013,06/23/2013,1,1
Battery,NS,CANADA,5,,5,CampsitePermit,Full,Less than 20ft,07/15/2013,07/16/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,09/09/2013,09/11/2013,2,1
Rissers Beach,NS,CANADA,2,,2,CampsitePermit,Full,Less than 30ft,08/11/2013,08/18/2013,7,1
Rissers Beach,NS,CANADA,2,2,4,CampsitePermit,Full,Less than 30ft,06/18/2013,06/19/2013,1,1
Laurie,ON,CANADA,2,,2,CampsitePermit,Full,Single Tent,07/19/2013,07/21/2013,2,1
Caribou Munroes,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,06/28/2013,06/29/2013,1,1
Caribou Munroes,NS,CANADA,2,,2,CampsitePermit,Full,Single Tent,06/21/2013,06/23/2013,2,1
Valleyview,NS,CANADA,2,,2,CampsitePermit,Full,Less than 20ft,06/28/2013,07/02/2013,4,1
Blomidon,NS,CANADA,1,,1,CampsitePermit,Full,Single Tent,06/07/2013,06/09/2013,2,1
