Park,State,Country,Adult,Children,partySize,Booking type,RateType,Equipment,BookingStartDate,BookingEnddate,Camper Nights,Permit
Rissers Beach,NS ,CANADA ,2,4,6,CampsitePermit,Full,Less than 20ft,07/30/2015,08/03/2015,4,1
Ellenwood Lake,NS ,CANADA ,33,,33,CampsitePermit,Full,Tents,08/21/2015,08/23/2015,2,1
Caribou Munroes,BC ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/20/2015,09/21/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/12/2015,09/16/2015,4,1
Porters Lake,AB ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/05/2015,07/07/2015,2,1
Thomas Raddall,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/31/2015,08/03/2015,3,1
Smileys,NS ,CANADA ,6,,6,CampsitePermit,Full,Tents,08/22/2015,08/23/2015,1,1
Salsman,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/04/2015,09/07/2015,3,1
Battery,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,06/27/2015,06/28/2015,1,1
Rissers Beach,NS ,CANADA ,3,,3,CampsitePermit,Senior,Less than 20ft,09/17/2015,09/21/2015,4,1
Graves Island,GERMANY ,OTHER,2,,2,CampsitePermit,Full,Less than 20ft,09/07/2015,09/08/2015,1,1
Caribou Munroes,QC ,CANADA ,2,1,3,CampsitePermit,Full,Tents,07/16/2015,07/22/2015,6,1
Caribou Munroes,NS ,CANADA ,4,,4,CampsitePermit,Full,Single Tent,06/21/2015,06/22/2015,1,1
Boylston,NS ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,09/06/2015,09/07/2015,1,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,06/19/2015,06/21/2015,2,1
Amherst Shore,NB ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/07/2015,09/10/2015,3,1
Caribou Munroes,NS ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,07/03/2015,07/05/2015,2,1
Dollar Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/03/2015,07/05/2015,2,1
Dollar Lake,ON ,CANADA ,2,,2,CampsitePermit,Senior,Less than 20ft,09/23/2015,09/24/2015,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 20ft,07/10/2015,07/12/2015,2,1
Dollar Lake,ON ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,07/11/2015,07/12/2015,1,1
Mira River,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 30ft,09/08/2015,09/13/2015,5,1
Five Islands,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/05/2015,09/07/2015,2,1
Porters Lake,NS ,CANADA ,2,,2,CampsitePermit,Senior,Tents,10/09/2015,10/12/2015,3,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 30ft,07/17/2015,07/19/2015,2,1
Thomas Raddall,NS ,CANADA ,3,1,4,CampsitePermit,Full,Tents,07/10/2015,07/12/2015,2,1
Five Islands,NS ,CANADA ,1,,1,CampsitePermit,Full,Less than 20ft,07/01/2015,07/02/2015,1,1
Rissers Beach,NS ,CANADA ,2,2,4,CampsitePermit,Full,Single Tent,07/27/2015,07/30/2015,3,1
Mira River,QC ,CANADA ,1,,1,CampsitePermit,Full,Single Tent,06/30/2015,07/01/2015,1,1
The Islands,RI ,USA ,2,1,2,CampsitePermit,Full,Less than 20ft,08/06/2015,08/07/2015,,
Graves Island,QC ,CANADA ,1,,1,CampsitePermit,Full,Tents,08/10/2015,08/12/2015,2,1
Whycocomagh,QC ,CANADA ,2,1,3,CampsitePermit,Full,Single Tent,08/22/2015,08/23/2015,1,1
Graves Island,NS ,CANADA ,5,1,6,CampsitePermit,Full,Less than 40ft,06/26/2015,06/28/2015,2,1
Caribou Munroes,NS ,CANADA ,2,2,4,CampsitePermit,Full,Less than 30ft,08/28/2015,08/30/2015,2,1
Rissers Beach,NS ,CANADA ,2,3,5,CampsitePermit,Full,Single Tent,07/21/2015,07/24/2015,3,1
Caribou Munroes,ON ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,09/20/2015,09/21/2015,1,1
Rissers Beach,NS ,CANADA ,2,,2,CampsitePermit,Full,Less than 20ft,09/03/2015,09/07/2015,4,1
Ellenwood Lake,NS ,CANADA ,2,,2,CampsitePermit,Full,Single Tent,07/21/2015,07/23/2015,2,1
Whycocomagh,ON ,CANADA ,2,,2,CampsitePermit,Full,Tents,07/25/2015,07/26/2015,1,1
Dollar Lake,NS ,CANADA ,2,1,3,CampsitePermit,Full,Less than 20ft,06/12/2015,06/14/2015,2,1
Boylston,NS ,CANADA ,3,,3,CampsitePermit,Full,Less than 30ft,06/30/2015,07/02/2015,2,1
